"term","estimate","se","low","high","p","n","clusters","outcome","adjustment","transform","rule","missing","clustering"
"application",-0.17811902366503,0.0766953025535461,-0.329473920817741,-0.0267641265123194,0.021348002579995,620,178,"tol1","explanatory","log","exclude_reporting_conflict","complete","village"
"application",-0.17643817176845,0.0802579511498014,-0.342082441705737,-0.0107939018311624,0.0378050388848868,622,25,"tol1","explanatory","log","exclude_reporting_conflict","median_mode_sensitivity","township"
"application",-0.17643817176845,0.0766834082553941,-0.327769596032815,-0.0251067475040849,0.0225651293763063,622,178,"tol1","explanatory","log","exclude_reporting_conflict","median_mode_sensitivity","village"
"application",-0.162818118618907,0.0781485074060021,-0.324108710647532,-0.00152752659028227,0.0480330533436932,622,25,"tol1","explanatory","raw","retain","complete","township"
"application",-0.162818118618907,0.0748711215204209,-0.310573072574786,-0.015063164663028,0.0309835683850911,622,178,"tol1","explanatory","raw","retain","complete","village"
"application",-0.162474224400682,0.0779639486942593,-0.323383905969605,-0.00156454283175869,0.0479815784588299,624,25,"tol1","explanatory","raw","retain","median_mode_sensitivity","township"
"application",-0.162474224400682,0.0746230244567794,-0.309739569419623,-0.01520887938174,0.0307842622866381,624,178,"tol1","explanatory","raw","retain","median_mode_sensitivity","village"
"application",-0.171644484065312,0.0789096668274093,-0.334506031928949,-0.00878293620167522,0.0396943152013142,615,25,"tol1","explanatory","raw","exclude_extreme_loss","complete","township"
"application",-0.171644484065312,0.0757023664396299,-0.321039864293292,-0.0222491038373316,0.024577454605316,615,178,"tol1","explanatory","raw","exclude_extreme_loss","complete","village"
"application",-0.171285370665298,0.0788092870665418,-0.333939744884864,-0.00863099644573223,0.0398433323801499,617,25,"tol1","explanatory","raw","exclude_extreme_loss","median_mode_sensitivity","township"
"application",-0.171285370665298,0.0755322615175738,-0.32034505610982,-0.0222256852207757,0.0245555336572942,617,178,"tol1","explanatory","raw","exclude_extreme_loss","median_mode_sensitivity","village"
"application",-0.168768833052128,0.0787286877379306,-0.331256858433305,-0.0062808076709511,0.0423996624327351,620,25,"tol1","explanatory","raw","exclude_reporting_conflict","complete","township"
"application",-0.168768833052128,0.07566302565946,-0.318086575934166,-0.0194510901700902,0.0269685293443597,620,178,"tol1","explanatory","raw","exclude_reporting_conflict","complete","village"
"application",-0.168382326351847,0.0785619847183906,-0.330526293610776,-0.00623835909291745,0.0424324669146457,622,25,"tol1","explanatory","raw","exclude_reporting_conflict","median_mode_sensitivity","township"
"application",-0.168382326351847,0.0753654681541556,-0.317112852232153,-0.0196518004715401,0.0267209402986631,622,178,"tol1","explanatory","raw","exclude_reporting_conflict","median_mode_sensitivity","village"
"application",-0.304910862254415,0.0820734876161764,-0.474302215293238,-0.135519509215593,0.00107880218180779,625,25,"tol2","none","log","retain","complete","township"
"application",-0.304910862254415,0.0818061063327427,-0.466351711931115,-0.143470012577716,0.000260278954727208,625,178,"tol2","none","log","retain","complete","village"
"application",-0.318060468887704,0.0804283786560411,-0.484056483909982,-0.152064453865427,0.000590944142969931,618,25,"tol2","none","log","exclude_extreme_loss","complete","township"
"application",-0.318060468887704,0.0827620550890551,-0.481387842521903,-0.154733095253505,0.000169198569496312,618,178,"tol2","none","log","exclude_extreme_loss","complete","village"
"application",-0.308392062395252,0.08227754344447,-0.478204565964581,-0.138579558825923,0.000993026336338816,623,25,"tol2","none","log","exclude_reporting_conflict","complete","township"
"application",-0.308392062395252,0.0832057280537376,-0.472595005636756,-0.144189119153748,0.000280973984904556,623,178,"tol2","none","log","exclude_reporting_conflict","complete","village"
"application",-0.25192842251555,0.0869124495169943,-0.431306902061243,-0.0725499429698575,0.00788522954039821,625,25,"tol2","background","log","retain","complete","township"
"application",-0.25192842251555,0.0801631489381591,-0.410126966089997,-0.0937298789411038,0.00196297687604425,625,178,"tol2","background","log","retain","complete","village"
"application",-0.255211460041032,0.0841249834924306,-0.428836892468041,-0.0815860276140227,0.00572718217485203,618,25,"tol2","background","log","exclude_extreme_loss","complete","township"
"application",-0.255211460041032,0.0804051952882632,-0.413887671728211,-0.0965352483538527,0.00177295500715969,618,178,"tol2","background","log","exclude_extreme_loss","complete","village"
"application",-0.258296459555991,0.0882139142340432,-0.440361030259211,-0.076231888852771,0.00735758150438788,623,25,"tol2","background","log","exclude_reporting_conflict","complete","township"
"application",-0.258296459555991,0.0824412741204819,-0.420990785677624,-0.0956021334343571,0.00202479022252896,623,178,"tol2","background","log","exclude_reporting_conflict","complete","village"
"application",-0.280252836674947,0.0821046588833935,-0.449708524047342,-0.110797149302552,0.00228139392084923,625,25,"tol2","resources","log","retain","complete","township"
"application",-0.280252836674947,0.0818051082745714,-0.441691716726561,-0.118813956623333,0.00076186587356562,625,178,"tol2","resources","log","retain","complete","village"
"application",-0.293180185007001,0.0788579740375248,-0.455935044195948,-0.130425325818053,0.00107146039959347,618,25,"tol2","resources","log","exclude_extreme_loss","complete","township"
"application",-0.293180185007001,0.0816965189832738,-0.454404768739687,-0.131955601274314,0.000430119523321618,618,178,"tol2","resources","log","exclude_extreme_loss","complete","village"
"application",-0.284463130091454,0.0829931331062564,-0.45575253813446,-0.113173722048448,0.0022030945533787,623,25,"tol2","resources","log","exclude_reporting_conflict","complete","township"
"application",-0.284463130091454,0.0834465609946714,-0.449141346834625,-0.119784913348283,0.000807622024452018,623,178,"tol2","resources","log","exclude_reporting_conflict","complete","village"
"application",-0.264231981590821,0.083181274940784,-0.435909695295491,-0.0925542678861518,0.00406450472340224,625,25,"tol2","resources","raw","retain","complete","township"
"application",-0.264231981590821,0.0791687734222889,-0.420468167642385,-0.107995795539257,0.00103012106257582,625,178,"tol2","resources","raw","retain","complete","village"
"application",-0.279515946175134,0.0805853901063682,-0.445836016903901,-0.113195875446368,0.00199117547474292,618,25,"tol2","resources","raw","exclude_extreme_loss","complete","township"
"application",-0.279515946175134,0.079650497369129,-0.43670279381877,-0.122329098531499,0.000569803522257435,618,178,"tol2","resources","raw","exclude_extreme_loss","complete","village"
"application",-0.269228584018774,0.0843559242031611,-0.443330654646481,-0.0951265133910674,0.00391976057793512,623,25,"tol2","resources","raw","exclude_reporting_conflict","complete","township"
"application",-0.269228584018774,0.081117278895237,-0.429310062228273,-0.109147105809276,0.00109679101328366,623,178,"tol2","resources","raw","exclude_reporting_conflict","complete","village"
"application",-0.245792545483576,0.0747526227307487,-0.400074376015491,-0.0915107149516613,0.00310076624138111,625,25,"tol2","conflict","log","retain","complete","township"
"application",-0.245792545483576,0.0801314086306777,-0.403928450919642,-0.0876566400475095,0.00249882371387312,625,178,"tol2","conflict","log","retain","complete","village"
"application",-0.256166869922759,0.071277052563049,-0.403275476184721,-0.109058263660797,0.0014593631139203,618,25,"tol2","conflict","log","exclude_extreme_loss","complete","township"
"application",-0.256166869922759,0.0802364270817248,-0.414510024777345,-0.0978237150681734,0.00166858187481704,618,178,"tol2","conflict","log","exclude_extreme_loss","complete","village"
"application",-0.249560119391392,0.0756890946521383,-0.405774732974867,-0.093345505807916,0.00303274141258833,623,25,"tol2","conflict","log","exclude_reporting_conflict","complete","township"
"application",-0.249560119391392,0.0818189952706796,-0.411026404835483,-0.0880938339472998,0.0026389260672484,623,178,"tol2","conflict","log","exclude_reporting_conflict","complete","village"
"application",-0.231737731990546,0.0759688642812084,-0.388529761709047,-0.0749457022720451,0.0055032880942173,625,25,"tol2","conflict","raw","retain","complete","township"
"application",-0.231737731990546,0.0772128328696653,-0.384113953072645,-0.0793615109084463,0.00307686841534334,625,178,"tol2","conflict","raw","retain","complete","village"
"application",-0.243837560332325,0.0731105062313164,-0.394730228983036,-0.0929448916816146,0.00276371923640846,618,25,"tol2","conflict","raw","exclude_extreme_loss","complete","township"
"application",-0.243837560332325,0.0779530804458636,-0.397674628324636,-0.0900004923400148,0.00205830581928913,618,178,"tol2","conflict","raw","exclude_extreme_loss","complete","village"
"application",-0.236393885358674,0.0770466906822474,-0.395410439435964,-0.0773773312813844,0.00527457289521421,623,25,"tol2","conflict","raw","exclude_reporting_conflict","complete","township"
"application",-0.236393885358674,0.0792145538012537,-0.392720417028798,-0.0800673536885505,0.00324490202388217,623,178,"tol2","conflict","raw","exclude_reporting_conflict","complete","village"
"application",-0.214473928363621,0.0792794318034344,-0.378098633629417,-0.0508492230978258,0.012355833408718,623,25,"tol2","explanatory","log","retain","complete","township"
"application",-0.214473928363621,0.0875248494420806,-0.387200472813508,-0.0417473839137341,0.0152408215217077,623,178,"tol2","explanatory","log","retain","complete","village"
"application",-0.214418532223839,0.0787096438975881,-0.376867253050326,-0.051969811397353,0.0118313895119253,625,25,"tol2","explanatory","log","retain","median_mode_sensitivity","township"
"application",-0.214418532223839,0.0874183420918625,-0.386934888976416,-0.0419021754712627,0.0151448789104429,625,178,"tol2","explanatory","log","retain","median_mode_sensitivity","village"
"application",-0.225417557228997,0.0755819898521012,-0.381411117369733,-0.0694239970882613,0.00647012557974765,616,25,"tol2","explanatory","log","exclude_extreme_loss","complete","township"
"application",-0.225417557228997,0.0871617044070093,-0.3974274504942,-0.0534076639637942,0.0105079375192239,616,178,"tol2","explanatory","log","exclude_extreme_loss","complete","village"
"application",-0.225403265013428,0.0749694525878838,-0.380132610375601,-0.0706739196512538,0.00610912746161753,618,25,"tol2","explanatory","log","exclude_extreme_loss","median_mode_sensitivity","township"
"application",-0.225403265013428,0.0870663170240046,-0.397224915360698,-0.0535816146661568,0.0104298469679359,618,178,"tol2","explanatory","log","exclude_extreme_loss","median_mode_sensitivity","village"
"application",-0.218510418207358,0.0812262494080768,-0.386153157527127,-0.0508676788875893,0.0127922779278827,621,25,"tol2","explanatory","log","exclude_reporting_conflict","complete","township"
"application",-0.218510418207358,0.0894266461563002,-0.394990077078889,-0.0420307593358268,0.0155285414227454,621,178,"tol2","explanatory","log","exclude_reporting_conflict","complete","village"
"application",-0.218489297943983,0.0806496393543656,-0.384941972603277,-0.0520366232846889,0.0122478213827044,623,25,"tol2","explanatory","log","exclude_reporting_conflict","median_mode_sensitivity","township"
"application",-0.218489297943983,0.0893252672248109,-0.394768889833077,-0.0422097060548892,0.0154233453478029,623,178,"tol2","explanatory","log","exclude_reporting_conflict","median_mode_sensitivity","village"
"application",-0.223834666452307,0.080259210534057,-0.389481535630948,-0.0581877972736663,0.010188387430072,623,25,"tol2","explanatory","raw","retain","complete","township"
"application",-0.223834666452307,0.0849714365919211,-0.391522159924405,-0.0561471729802097,0.00917993411512095,623,178,"tol2","explanatory","raw","retain","complete","village"
"application",-0.223093614792006,0.0797105905198386,-0.387608187912422,-0.0585790416715909,0.00995700403293571,625,25,"tol2","explanatory","raw","retain","median_mode_sensitivity","township"
"application",-0.223093614792006,0.0847462846838221,-0.390336780609613,-0.0558504489743991,0.00922542188833109,625,178,"tol2","explanatory","raw","retain","median_mode_sensitivity","village"
"application",-0.230715030350684,0.0797556192550561,-0.395322538212947,-0.0661075224884211,0.00799474578181102,616,25,"tol2","explanatory","raw","exclude_extreme_loss","complete","township"
"application",-0.230715030350684,0.0857937011474754,-0.400025227731556,-0.0614048329698122,0.00784748389123952,616,178,"tol2","explanatory","raw","exclude_extreme_loss","complete","village"
"application",-0.229770784048293,0.0791014049423293,-0.393028059931523,-0.0665135081650639,0.00777266228403417,618,25,"tol2","explanatory","raw","exclude_extreme_loss","median_mode_sensitivity","township"
"application",-0.229770784048293,0.0856149854432744,-0.398728293635672,-0.0608132744609151,0.0079705708552217,618,178,"tol2","explanatory","raw","exclude_extreme_loss","median_mode_sensitivity","village"
"application",-0.22817082036995,0.0819992601275785,-0.397408975401821,-0.0589326653380779,0.0103383174406666,621,25,"tol2","explanatory","raw","exclude_reporting_conflict","complete","township"
"application",-0.22817082036995,0.086974557028343,-0.399811386292964,-0.0565302544469353,0.00946497817686142,621,178,"tol2","explanatory","raw","exclude_reporting_conflict","complete","village"
"application",-0.227383350920758,0.081479672643911,-0.395549130092449,-0.0592175717490677,0.0101464326819278,623,25,"tol2","explanatory","raw","exclude_reporting_conflict","median_mode_sensitivity","township"
"application",-0.227383350920758,0.0867318699371617,-0.398544984255947,-0.0562217175855695,0.00951154385450956,623,178,"tol2","explanatory","raw","exclude_reporting_conflict","median_mode_sensitivity","village"
"application",0.215333675334551,0.0779677737960669,0.0544160991435088,0.376251251525592,0.0108473715735723,625,25,"tol3","none","log","retain","complete","township"
"application",0.215333675334551,0.0991304061763199,0.0197040613689735,0.410963289300128,0.0311684503437757,625,178,"tol3","none","log","retain","complete","village"
"application",0.20945308978077,0.0751193561442789,0.0544143586841691,0.36449182087737,0.0102031994581012,618,25,"tol3","none","log","exclude_extreme_loss","complete","township"
"application",0.20945308978077,0.094914387078734,0.0221436090653806,0.396762570496159,0.0286175576674502,618,178,"tol3","none","log","exclude_extreme_loss","complete","village"
"application",0.226449631520317,0.0808169437493692,0.059651657560821,0.393247605479813,0.00988300106515111,623,25,"tol3","none","log","exclude_reporting_conflict","complete","township"
"application",0.226449631520317,0.0970787838645303,0.0348688063808917,0.418030456659742,0.0207917980922825,623,178,"tol3","none","log","exclude_reporting_conflict","complete","village"
"application",0.0357646053232232,0.0849508555677384,-0.139565343292102,0.211094553938549,0.677498864657904,625,25,"tol3","background","log","retain","complete","township"
"application",0.0357646053232232,0.0984785368492906,-0.15857857242443,0.230107783070876,0.716910072163331,625,178,"tol3","background","log","retain","complete","village"
"application",0.0391788186858332,0.0859501077757708,-0.138213485124354,0.21657112249602,0.652608442595841,618,25,"tol3","background","log","exclude_extreme_loss","complete","township"
"application",0.0391788186858332,0.0984311634936421,-0.155070869771952,0.233428507143618,0.691085773752808,618,178,"tol3","background","log","exclude_extreme_loss","complete","village"
"application",0.0494698112683326,0.0821666609316811,-0.120113842042342,0.219053464579007,0.552775769639697,623,25,"tol3","background","log","exclude_reporting_conflict","complete","township"
"application",0.0494698112683326,0.0939559938304754,-0.135948321389322,0.234887943925987,0.599185384519626,623,178,"tol3","background","log","exclude_reporting_conflict","complete","village"
"application",0.0447698613094259,0.0851136794699983,-0.130896139323572,0.220435861942424,0.60371477765768,625,25,"tol3","resources","log","retain","complete","township"
"application",0.0447698613094259,0.0956819677726162,-0.144054407054109,0.233594129672961,0.640429709132694,625,178,"tol3","resources","log","retain","complete","village"
"application",0.0506745634652568,0.0847879999704189,-0.124319267717008,0.225668394647521,0.555663441912766,618,25,"tol3","resources","log","exclude_extreme_loss","complete","township"
"application",0.0506745634652568,0.0953850647032932,-0.137563779397948,0.238912906328461,0.595902532432036,618,178,"tol3","resources","log","exclude_extreme_loss","complete","village"
"application",0.0545507278128255,0.082074294989257,-0.114842291562136,0.223943747187787,0.512610299530783,623,25,"tol3","resources","log","exclude_reporting_conflict","complete","township"
"application",0.0545507278128255,0.0919985689199251,-0.127004510558524,0.236105966184175,0.55397017736818,623,178,"tol3","resources","log","exclude_reporting_conflict","complete","village"
"application",0.0364140577453316,0.083920196513214,-0.136788715129832,0.209616830620495,0.668227391561751,625,25,"tol3","resources","raw","retain","complete","township"
"application",0.0364140577453316,0.0992748764654446,-0.159500662152735,0.232328777643398,0.714206084168892,625,178,"tol3","resources","raw","retain","complete","village"
"application",0.0439979685618348,0.0842628103482715,-0.129911924514698,0.217907861638367,0.606351121503563,618,25,"tol3","resources","raw","exclude_extreme_loss","complete","township"
"application",0.0439979685618348,0.0986781025636277,-0.150739043581968,0.238734980705638,0.656233416660184,618,178,"tol3","resources","raw","exclude_extreme_loss","complete","village"
"application",0.049486351375301,0.0813523303776002,-0.118416606276116,0.217389309026718,0.5487049208414,623,25,"tol3","resources","raw","exclude_reporting_conflict","complete","township"
"application",0.049486351375301,0.0948223989691259,-0.137641594742721,0.236614297493323,0.602403139065789,623,178,"tol3","resources","raw","exclude_reporting_conflict","complete","village"
"application",0.0847433644097422,0.0899408257438666,-0.100885376474661,0.270372105294145,0.355472317724339,625,25,"tol3","conflict","log","retain","complete","township"
"application",0.0847433644097422,0.0977631271659349,-0.108187982946203,0.277674711765687,0.387212350393655,625,178,"tol3","conflict","log","retain","complete","village"
"application",0.0918693538652182,0.0902020195618571,-0.0942984645644416,0.278037172294878,0.318605596175617,618,25,"tol3","conflict","log","exclude_extreme_loss","complete","township"
"application",0.0918693538652182,0.0981443396522086,-0.101814300017101,0.285553007747537,0.350515774546153,618,178,"tol3","conflict","log","exclude_extreme_loss","complete","village"
"application",0.097196949480781,0.0852452447004846,-0.0787405884421783,0.27313448740374,0.265452844280319,623,25,"tol3","conflict","log","exclude_reporting_conflict","complete","township"
"application",0.097196949480781,0.0931039287258547,-0.0865396691599328,0.280933568121495,0.297926738353777,623,178,"tol3","conflict","log","exclude_reporting_conflict","complete","village"
"application",0.0769558850962527,0.0871319383654821,-0.102875597168128,0.256787367360633,0.385884004258615,625,25,"tol3","conflict","raw","retain","complete","township"
"application",0.0769558850962527,0.101394950269796,-0.123142709718922,0.277054479911428,0.448879086852649,625,178,"tol3","conflict","raw","retain","complete","village"
"application",0.084640651399751,0.0885724054614023,-0.0981638088319714,0.267445111631473,0.348796744328402,618,25,"tol3","conflict","raw","exclude_extreme_loss","complete","township"
"application",0.084640651399751,0.101490083269469,-0.115645684318737,0.284926987118239,0.405416608428149,618,178,"tol3","conflict","raw","exclude_extreme_loss","complete","village"
"application",0.0928107207468329,0.0824180492687709,-0.0772917725911711,0.262913214084837,0.271259248133292,623,25,"tol3","conflict","raw","exclude_reporting_conflict","complete","township"
"application",0.0928107207468329,0.0957145897582459,-0.0960779257091737,0.28169936720284,0.333538566750899,623,178,"tol3","conflict","raw","exclude_reporting_conflict","complete","village"
"application",0.108269416591281,0.0900872757310461,-0.0776615822110122,0.294200415393575,0.241155338446605,623,25,"tol3","explanatory","log","retain","complete","township"
"application",0.108269416591281,0.100398565008715,-0.0898628545548514,0.306401687737414,0.282324479474861,623,178,"tol3","explanatory","log","retain","complete","village"
"application",0.10425995816008,0.0902584333287558,-0.0820242925619383,0.290544208882098,0.259409994490478,625,25,"tol3","explanatory","log","retain","median_mode_sensitivity","township"
"application",0.10425995816008,0.100547961956113,-0.0941671414677903,0.30268705778795,0.301188738647465,625,178,"tol3","explanatory","log","retain","median_mode_sensitivity","village"
"application",0.117417286951871,0.0891926276975179,-0.0666672490608598,0.301501822964602,0.200458667402871,616,25,"tol3","explanatory","log","exclude_extreme_loss","complete","township"
"application",0.117417286951871,0.100437993762503,-0.0807927951523745,0.315627369056117,0.243954473052418,616,178,"tol3","explanatory","log","exclude_extreme_loss","complete","village"
"application",0.113430583429514,0.0893808298153341,-0.0710423826634736,0.297903549522501,0.216585887723751,618,25,"tol3","explanatory","log","exclude_extreme_loss","median_mode_sensitivity","township"
"application",0.113430583429514,0.100603203647387,-0.0851055333118301,0.311966700170857,0.261055276489308,618,178,"tol3","explanatory","log","exclude_extreme_loss","median_mode_sensitivity","village"
"application",0.122096132067428,0.0868917725999042,-0.0572396724188234,0.30143193655368,0.172788691972547,621,25,"tol3","explanatory","log","exclude_reporting_conflict","complete","township"
"application",0.122096132067428,0.0955801564346891,-0.0665272159780709,0.310719480112928,0.203126550314386,621,178,"tol3","explanatory","log","exclude_reporting_conflict","complete","village"
"application",0.118052175692468,0.0870723582304579,-0.0616563392169347,0.29776069060187,0.18778601062478,623,25,"tol3","explanatory","log","exclude_reporting_conflict","median_mode_sensitivity","township"
"application",0.118052175692468,0.0957511217544913,-0.070908565094618,0.307012916479553,0.219245644484219,623,178,"tol3","explanatory","log","exclude_reporting_conflict","median_mode_sensitivity","village"
"application",0.101167220060754,0.0950953365742592,-0.0950999083123928,0.2974343484339,0.297983693599604,623,25,"tol3","explanatory","raw","retain","complete","township"
"application",0.101167220060754,0.104174672657551,-0.104417037918966,0.306751478040474,0.332808424275212,623,178,"tol3","explanatory","raw","retain","complete","village"
"application",0.0896113902162113,0.0965873483072396,-0.109735099026566,0.288957879458988,0.362761203011253,625,25,"tol3","explanatory","raw","retain","median_mode_sensitivity","township"
"application",0.0896113902162113,0.105719673678253,-0.119021861154285,0.298244641586707,0.397787608367755,625,178,"tol3","explanatory","raw","retain","median_mode_sensitivity","village"
"application",0.107720949951317,0.0952871578209686,-0.088942078017003,0.304383977919637,0.269442231173495,616,25,"tol3","explanatory","raw","exclude_extreme_loss","complete","township"
"application",0.107720949951317,0.104117795687768,-0.09775106376278,0.313192963665414,0.302264187076673,616,178,"tol3","explanatory","raw","exclude_extreme_loss","complete","village"
"application",0.096666502617767,0.0966020381394765,-0.102710304948634,0.296043310184168,0.32697065560025,618,25,"tol3","explanatory","raw","exclude_extreme_loss","median_mode_sensitivity","township"
"application",0.096666502617767,0.105531063528096,-0.111594534693606,0.30492753992914,0.360912952979946,618,178,"tol3","explanatory","raw","exclude_extreme_loss","median_mode_sensitivity","village"
