"field","label","missing","unique"
"...143","OtherLoss",0,15
"...144","TC2_EconomicLoss",0,98
"Q26","您怎样看待野猪的出现",0,4
"...146","IC1",0,4
"Q27","您是否有以下经历",1,7
"Q28","您周围是否有野猪被捕杀？",0,6
"Q29","当遇到野猪时，您更倾向以下哪种措施？",2,3
"Q30_1","你是如何看待以下陈述 - 您认为野猪是森林中的重要组成部分",1,5
"...151","IB",0,5
"Q30_2","你是如何看待以下陈述 - 您可以接受野猪所造成的一些破坏",0,5
"...153","Tol4",0,5
"Q30_3","你是如何看待以下陈述 - 您认为野猪严重威胁了您的人身安全",0,5
"...155","Tol3",0,5
"Q30_4","你是如何看待以下陈述 - 您认为政府应该采取更严格的管控措施来控制野猪的数量",0,5
"...157","Tol2",0,5
"Q30_5","你是如何看待以下陈述 - 您支持对野猪采取非致命的管理策略（例如异地安置，设置围栏等）",1,5
"...159","Tol1",0,5
"Q35_1","用三个词语形容野猪",0,279
"Q35_2","用三个词语形容野猪",45,290
"Q35_3","用三个词语形容野猪",155,261
"...163","First",0,5
"...164","Second",45,5
"...165","Third",155,5
"...166","IC_Attitude",0,16
"Q36_1","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 设置障碍物（电围栏）",0,6
"Q36_1_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 设置障碍物（电围栏） - Text",478,99
"...169","PE_A",0,6
"...170","PE_A_count",0,2
"Q36_2","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 利用干扰技术，如：爆闪灯、音响等",0,5
"Q36_2_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 利用干扰技术，如：爆闪灯、音响等 - Text",336,132
"...173","PE_B",0,5
"...174","PE_B_count",0,2
"Q36_3","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 人工看守",0,6
"Q36_3_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 人工看守 - Text",553,46
"...177","PE_C",0,6
"...178","PE_C_count",0,2
"Q36_4","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 改变作物结构（换种/弃种）",0,5
"Q36_4_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 改变作物结构（换种/弃种） - Text",584,31
"...181","PE_D",0,5
"...182","PE_D_count",0,2
"Q36_5","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 生物防治，如：豢养犬只等",0,6
"Q36_5_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 生物防治，如：豢养犬只等 - Text",571,28
"...185","PE_E",0,6
"...186","PE_E_count",0,2
"Q36_6","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 异地安置或狩猎",0,3
"Q36_6_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 异地安置或狩猎 - Text",624,1
"...189","PE_F",0,3
"...190","PE_F_count",0,2
"Q36_7","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 移民搬迁",0,3
"Q36_7_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 移民搬迁 - Text",625,0
"...193","PE_G",0,3
"...194","PE_G_count",0,2
"Q36_8","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 宣传教育",0,4
"Q36_8_TEXT","现有针对野猪的事前预防策略的实施效果如何？成本如何（元/年）？ - 宣传教育 - Text",625,0
"...197","PE_count",0,8
"...198","PE",0,25
"Q38","您是否通过以下途径了解到野猪致害信息",0,21
"...200","PS2",0,6
"Q86","关于这名受访人员的备注",124,377
